#Lambda	Bandwidth	AOI	Delta	Psi	Zone	Amin	Pmin	Afix	Pfix	ROIidx	X_pos	Y_pos
#nm	nm	deg	deg	deg	-	deg	deg	deg	deg	-	mm	mm
437.0	6.0	60.000	137.756	29.961	2	-26.646	-24.766	-33.031	-24.766	000	-8.000	-16.836
494.0	5.6	60.000	141.887	27.662	2	-24.781	-26.038	-26.646	-26.038	000	-8.000	-16.836
551.0	5.0	60.000	145.195	26.072	2	-24.244	-27.541	-24.781	-27.541	000	-8.000	-16.836
608.0	5.5	60.000	148.025	24.859	2	-24.094	-28.995	-24.244	-28.995	000	-8.000	-16.836
665.0	5.0	60.000	150.574	24.249	2	-24.402	-30.291	-24.094	-30.291	000	-8.000	-16.836
722.0	5.0	60.000	152.725	23.725	2	-24.638	-31.338	-24.402	-31.337	000	-8.000	-16.836
779.0	5.5	60.000	154.488	23.165	2	-24.689	-32.100	-24.638	-32.100	000	-8.000	-16.836
836.0	5.0	60.000	156.139	22.712	2	-24.726	-32.789	-24.689	-32.788	000	-8.000	-16.836
893.0	5.1	60.000	157.585	22.363	2	-24.774	-33.362	-24.726	-33.362	000	-8.000	-16.836
950.0	5.5	60.000	158.878	22.163	2	-24.893	-33.880	-24.774	-33.880	000	-8.000	-16.836
380.0	6.0	60.000	131.846	35.084	1	-36.730	-69.137	-36.973	-69.137	000	-8.000	-16.836
437.0	6.0	60.000	137.609	30.108	1	-33.915	-66.993	-36.730	-66.993	000	-8.000	-16.836
494.0	5.6	60.000	141.730	27.646	1	-30.883	-64.983	-33.915	-64.983	000	-8.000	-16.836
551.0	5.0	60.000	145.050	26.054	1	-28.029	-63.015	-30.883	-63.015	000	-8.000	-16.836
608.0	5.5	60.000	147.795	24.823	1	-25.618	-61.301	-28.029	-61.301	000	-8.000	-16.836
665.0	5.0	60.000	150.478	24.225	1	-24.072	-59.737	-25.618	-59.737	000	-8.000	-16.836
722.0	5.0	60.000	152.764	23.715	1	-22.836	-58.528	-24.072	-58.528	000	-8.000	-16.836
779.0	5.5	60.000	154.619	23.150	1	-21.730	-57.604	-22.836	-57.604	000	-8.000	-16.836
836.0	5.0	60.000	156.352	22.702	1	-20.872	-56.834	-21.730	-56.834	000	-8.000	-16.836
893.0	5.1	60.000	157.819	22.383	1	-20.226	-56.253	-20.872	-56.253	000	-8.000	-16.836
950.0	5.5	60.000	159.166	22.200	1	-19.779	-55.778	-20.226	-55.778	000	-8.000	-16.836
380.0	6.0	60.000	132.202	35.081	3	33.479	21.073	33.801	21.073	000	-8.000	-16.836
437.0	6.0	60.000	138.323	30.032	3	26.757	25.123	33.479	25.123	000	-8.000	-16.836
494.0	5.6	60.000	141.911	27.717	3	24.835	26.062	26.757	26.062	000	-8.000	-16.836
551.0	5.0	60.000	145.352	26.194	3	24.367	27.609	24.835	27.609	000	-8.000	-16.836
608.0	5.5	60.000	148.274	25.320	3	24.549	29.095	24.367	29.094	000	-8.000	-16.836
665.0	5.0	60.000	150.388	24.360	3	24.514	30.192	24.549	30.192	000	-8.000	-16.836
722.0	5.0	60.000	152.359	23.739	3	24.665	31.145	24.514	31.145	000	-8.000	-16.836
779.0	5.5	60.000	154.114	23.387	3	24.938	31.956	24.665	31.956	000	-8.000	-16.836
836.0	5.0	60.000	155.699	23.149	3	25.217	32.633	24.938	32.633	000	-8.000	-16.836
893.0	5.1	60.000	157.124	22.835	3	25.328	33.148	25.217	33.147	000	-8.000	-16.836
950.0	5.5	60.000	158.313	22.532	3	25.377	33.552	25.328	33.552	000	-8.000	-16.836
380.0	6.0	65.000	118.731	33.884	4	35.786	75.423	30.000	75.423	000	-8.000	-16.836
437.0	6.0	65.000	124.492	27.543	4	31.888	72.801	30.000	72.801	000	-8.000	-16.836
494.0	5.6	65.000	128.511	24.405	4	28.145	71.323	30.000	71.323	000	-8.000	-16.836
551.0	5.0	65.000	132.545	22.415	4	24.710	69.512	30.000	69.512	000	-8.000	-16.836
608.0	5.5	65.000	135.956	21.121	4	22.047	67.548	30.000	67.548	000	-8.000	-16.836
665.0	5.0	65.000	138.111	19.929	4	19.753	65.794	30.000	65.794	000	-8.000	-16.836
722.0	5.0	65.000	140.209	19.103	4	18.111	63.705	30.000	63.705	000	-8.000	-16.836
779.0	5.5	65.000	142.603	18.612	4	17.073	61.246	30.000	61.246	000	-8.000	-16.836
836.0	5.0	65.000	144.832	18.132	4	16.267	58.674	30.000	58.674	000	-8.000	-16.836
893.0	5.1	65.000	146.914	17.769	4	15.749	56.105	30.000	56.105	000	-8.000	-16.836
950.0	5.5	65.000	148.676	17.329	4	15.297	53.595	30.000	53.595	000	-8.000	-16.836
380.0	6.0	65.000	118.622	33.129	2	-31.289	-14.303	-32.023	-14.303	000	-8.000	-16.836
437.0	6.0	65.000	124.305	27.357	2	-23.512	-18.046	-31.289	-18.046	000	-8.000	-16.836
494.0	5.6	65.000	128.434	24.433	2	-21.130	-19.357	-23.512	-19.357	000	-8.000	-16.836
551.0	5.0	65.000	131.928	22.392	2	-20.295	-20.937	-21.130	-20.937	000	-8.000	-16.836
608.0	5.5	65.000	135.045	20.859	2	-19.974	-22.514	-20.295	-22.514	000	-8.000	-16.836
665.0	5.0	65.000	137.966	19.920	2	-20.099	-23.983	-19.974	-23.984	000	-8.000	-16.836
722.0	5.0	65.000	140.529	19.140	2	-20.215	-25.217	-20.098	-25.217	000	-8.000	-16.836
779.0	5.5	65.000	142.709	18.429	2	-20.234	-26.168	-20.215	-26.169	000	-8.000	-16.836
836.0	5.0	65.000	144.800	17.843	2	-20.242	-27.033	-20.234	-27.033	000	-8.000	-16.836
893.0	5.1	65.000	146.698	17.372	2	-20.257	-27.775	-20.243	-27.775	000	-8.000	-16.836
